National Banks Active As of 4/30/2025,,,,,,,
,,,,,,,
,,,,,,,
CHARTER NO,NAME,ADDRESS (LOC),CITY,STATE,CERT,RSSD,
14761,KeyBank National Association,127 Public Square,Cleveland,OH,17534,280110,
9536,Kingston National Bank,2 North Main Street,Kingston,OH,6616,966722,
12968,"Kleberg Bank, National Association",100 East Kleberg Avenue,Kingsville,TX,3286,556459,
15168,Kress National Bank,Highway 87 & 4th Street,Kress,TX,18892,995955,
25149,"Lake Forest Bank & Trust Company, National Association",727 North Bank Lane,Lake Forest,IL,27589,1917301,
17106,Lamar National Bank,200 S. Collegiate Drive,Paris,TX,23597,2161,
23038,Landmark National Bank,701 Poyntz Avenue,Manhattan,KS,5826,481177,
2360,LCNB National Bank,2 North Broadway,Lebanon,OH,6623,785923,
24131,"Leader Bank, National Association",141 Massachusetts Avenue,Arlington,MA,57134,3109146,
22210,Ledyard National Bank,320 Main Street,Norwich,VT,33418,1863097,
24573,Legacy National Bank,4055 West Sunset,Springdale,AR,57953,3306280,
24338,"Legacy Trust Company, National Association","1415  Louisiana, Suite 1900",Houston,TX,57380,2597223,
4265,"Legend Bank, National Association",101 Tarrant Street,Bowie,TX,3108,100357,
25228,"LendingClub Bank, National Association",2701 N Thanksgiving Way,Lehi,UT,32551,264772,
23925,"Liberty Bank, National Association","2 Park Plaza, Suite 550",Irvine,CA,35331,2907439,
24378,Liberty National Bank,4425 Singing Hills Boulevard,Sioux City,IA,57505,3140822,
23516,Liberty National Bank,629 S. W. C Avenue,Lawton,OK,11522,68756,
25197,"Libertyville Bank & Trust Company, National Association",507 North Milwaukee Avenue,Libertyville,IL,34073,2339795,
17606,Llano National Bank,1001 Ford Street,Llano,TX,24305,946555,
8575,"Lone Oak Bank, National Association",100 SW Main Street,Eldorado,TX,3184,665258,
23730,"Lone Star Capital Bank, National Association",150 N Loop 1604 E,San Antonio,TX,35015,2788656,
17611,LONE STAR NATIONAL BANK,206 West Ferguson,Pharr,TX,24347,842460,
14328,Louisiana National Bank,2001 North Trenton Street,Ruston,LA,15059,109659,
25333,"Macatawa Bank, National Association",10753 Macatawa Drive,Holland,MI,34618,2634351,
14492,Mason City National Bank,104 West Pine Street,Mason City,IL,16198,108746,
17269,Mccurtain County National Bank,20 North Park Drive,Broken Bow,OK,23798,423159,
14488,"Merchants Bank, National Association",102 East Third Street,Winona,MN,8866,779351,
13838,Midamerica National Bank,100 West Elm Street,Canton,IL,3612,510938,
25227,Mid-Central National Bank,520 Jefferson St S,Wadena,MN,30943,773171,
10354,"Midstates Bank, National Association","1851 Madison Avenue, Suite 732",Council Bluffs,IA,4465,728948,
9786,Midwest National Bank,302 N. Main Street,Sandoval,IL,3834,122546,
13835,Millbury National Bank,18 Main Street,Millbury,MA,2616,881900,
6417,Minnesota National Bank,131 12th Street South,Sauk Centre,MN,5249,799751,
13972,Minnstar Bank National Association,202 North Main,Lake Crystal,MN,13809,89854,
17176,Mission National Bank,3060 16th Street,San Francisco,CA,23749,519360,
16629,"Modern Bank, National Association","410 Park Avenue, Suite 830",New York,NY,22398,2398701,
8899,Moody National Bank,2302 Post Office Street,Galveston,TX,3210,253356,
24908,"Morgan Stanley Bank, N.A.","201 South Main Street, 5th Floor",Salt Lake City,UT,32992,1456501,
24981,"Morgan Stanley Private Bank, National Association",2000 Westchester Avenue,Purchase,NY,34221,2489805,
9610,"Mountain Valley Bank, National Association",317 Davis Avenue,Elkins,WV,6786,1011432,
23523,"Natbank, National Association",4031 Oakwood Boulevard,Hollywood,FL,33959,2233875,
25145,National Advisors Trust Company,"800 East 101st Terrace, Suite 300",Kansas City,MO,57160,2809373,
3906,National Bank & Trust,145 West Colorado Street,La Grange,TX,3289,792659,
14109,National Bank of Commerce,1127 Tower Avenue,Superior,WI,14266,775456,
14617,National Bank of St. Anne,158 W. Station Street,St. Anne,IL,16752,760340,
25093,"National Cooperative Bank, N.A.",139 S High St,Hillsboro,OH,32612,99376,
13879,National Exchange Bank and Trust,130 South Main,Fond Du Lac,WI,10044,722544,
21158,"Native American Bank, National Association",201 North Broadway,Denver,CO,27026,664653,
1354,"NBT Bank, National Association",52 South Broad Street,Norwich,NY,7230,702117,
22770,Neighborhood National Bank,"2987 Jamacha Road, Suite 2B",EL CAJON,CA,34548,2333140,
15161,Neighborhood National Bank,45 North Union Street,Mora,MN,18885,705556,
24961,Neuberger Berman Trust Company National Association,"1290 Avenue of the Americas, 23rd floor",New York,NY,59046,4149037,
24966,Neuberger Berman Trust Company of Delaware NA,"919 N. Market Street, Suite 506",Wilmington,DE,59047,4146830,
23421,"New Covenant Trust Company, National Association",200 East 12th Street,Jeffersonville,IN,34732,2641827,
24858,"New Horizon Bank, National Association",1870 Stoneridge Commerce Drive,Powhatan,VA,58857,3816154,
16840,"New Omni Bank, National Association",1235 South Garfield Avenue,Alhambra,CA,23086,300063,
14240,Newfield National Bank,18-24 West Boulevard,Newfield,NJ,14646,632410,
6112,Newfirst National Bank,202 East Jackson,El Campo,TX,3183,938859,
15070,"Newtek Bank, National Association","1111 Brickell Avenue, Suite 135",Miami,FL,18734,502111,
5073,"NexTier Bank, National Association",222 Market Street,Kittanning,PA,7900,18827,
24107,Nicolet National Bank,111 North Washington Street,Green Bay,WI,57038,2941068,
23547,North Georgia National Bank,350 West Belmont Drive,Calhoun,GA,34662,2769954,
25199,"Northbrook Bank & Trust Company, National Association",1100 Waukegan Road,Northbrook,IL,57082,2938198,
6863,"Northern Interstate Bank, National Association",501 W. US 2,Norway,MI,13784,289056,
24372,"Northwestern Bank, National Association",4 North Main Street,Dilworth,MN,9746,207555,
24849,Oak View National Bank,340 Waterloo Street,Warrenton,VA,58827,3816190,
25150,"OceanFirst Bank, National Association",975 Hooper Avenue,Toms River,NJ,28359,85472,
24730,Old Dominion National Bank,"4916 Plank Road, Suite 216",North Garden,VA,58504,3610718,
8846,Old National Bank,1 Main Street,Evansville,IN,3832,208244,
24646,"Old Plank Trail Community Bank, National Association",20012 Wolf Road,Mokena,IL,58314,3404207,
23702,"Old Point Trust & Financial Services, National Association","11780 Jefferson Avenue, Suite D",Newport News,VA,35248,2797210,
4596,Old Second National Bank,37-39 South River Street,Aurora,IL,3603,936136,
20010,Pacific National Bank,1390 Brickell Avenue,Miami,FL,26299,577137,
25344,"Pacific Premier Bank, National Association","17901 Von Karman Avenue, Suite 1200",Irvine,CA,32172,431172,
25291,"Park Bank, National Association",1200 S. Main Street,Holmen,WI,13054,518354,
25195,"Pathward, National Association",5501 South Broadband Lane,Sioux Falls,SD,30776,435077,
22545,"Patriot Bank, National Association",999 Bedford Street,Stamford,CT,33928,2236821,
11001,"Patrons Bank, National Association",610 East 8th,Okmulgee,OK,4170,634955,
25289,Paycom National Trust Bank,7501 West Memorial Road,Oklahoma City,OK,59363,5972661,
14418,Peoples National Bank of Kewanee,207 North Tremont Street,Kewanee,IL,926,823133,
9408,"Peoples National Bank, N.A.",108 South Washington,Mcleansboro,IL,3809,375043,
20493,Pike National Bank,350 Rawls Drive,Mccomb,MS,26379,880332,
15058,Pikes Peak National Bank,2401 West Colorado Avenue,Colorado Springs,CO,17782,643658,
25324,"Pioneer Bank, National Association",652 Albany Shaker Road,Albany,NY,20741,237619,
21060,"Pioneer Trust Bank, National Association","109 Commercial Street, NE",Salem,OR,19827,852973,
25258,"Plante Moran Trust, National Association",3000 Town Center,Southfield,MI,57418,5591633,
1316,"PNC Bank, National Association",222 Delaware Avenue,Wilmington,DE,6384,817824,
9924,Powell Valley National Bank,33785 Main Street,Jonesville,VA,6863,31826,
25308,Premier Bank National Association,16802 Burke Street,Omaha,NE,12493,860259,
17735,Progressive National Bank,300 Washington Street,Mansfield,LA,24443,675855,
6207,Queensborough National Bank & Trust Company,113 East Broad Street,Louisville,GA,2138,960935,
24771,"Raymond James Trust, National Association",880 Carillon Parkway,St. Petersburg,FL,33879,2163477,
23416,"RBC Bank (Georgia), National Association",3550 Lenox Road NE,Atlanta,GA,26342,3783948,
5815,"Resource Bank, National Association",555 Bethany Road,Dekalb,IL,3701,235530,
24920,"Rockefeller Trust Company, National Association","45 Rockefeller Plaza, Fifth Floor",New York,NY,26622,62110,
25216,"RockPointBank, National Association","401 Chestnut Street, Suite 101",Chattanooga,TN,59206,5574430,
20948,Safra National Bank of New York,546 Fifth Avenue,New York,NY,26876,918918,
25022,"Santander Bank, National Association","824 N. Market Street, Suite 100",Wilmington,DE,29950,722777,
12810,Savannah Bank National Association,"1565 Main Street, P.O. Box 278",Savannah,NY,14619,647414,
24150,"Schaumburg Bank & Trust Company, National Association",1180 East Higgins Road,Schaumburg,IL,57103,2970657,
14838,Seacoast National Bank,815 Colorado Avenue,Stuart,FL,131,34537,
14578,Security First National Bank of Hugo,100 S. Broadway,Hugo,OK,432,422657,
15379,Security National Bank of Omaha,1120 S. 101st Street,Omaha,NE,19213,844053,
23226,Security National Bank of South Dakota,325 Dakota Dunes Blvd,Dakota Dunes,SD,34394,2529176,
24010,Security National Trust Co.,1300 Chapline Street,Wheeling,WV,57081,2912750,
12529,"Shamrock Bank, National Association",101 N. Main,Coalgate,OK,4236,300353,
25270,"Shore United Bank, National Association",18 East Dover Street,Easton,MD,4832,933023,
24264,"Signature Bank, National Association",4607 West Sylvania Avenue,Toledo,OH,57269,3076604,
10834,Skyline National Bank,113 West Main Street,Independence,VA,6861,90328,
24617,"SmartBiz Bank, National Association",385 Waukegan Road,Northbrook,IL,58158,3377235,
9987,"SNB Bank, National Association",503 South Main,Shattuck,OK,4196,394156,
20862,"SoFi Bank, National Association",2750 East Cottonwood Parkway ,Cottonwood Heights,UT,26881,962966,
24737,Solera National Bank,319 S. Sheridan Blvd.,Lakewood,CO,58534,3397233,
15651,Southeast First National Bank,10144 Commerce Street,Summerville,GA,19819,563934,
22311,"SouthState Bank, National Association",1101 First Street South,Winter Haven,FL,33555,1929247,
14012,"Southtrust Bank, National Association",601 Guadalupe,George West,TX,13919,521158,
12346,Southwest National Bank,400 East Douglas,Wichita,KS,4801,499855,
23081,Southwestern National Bank,6901 Corporate Drive,Houston,TX,34319,2625724,
25211,"St. Charles Bank & Trust Company, National Association",411 West Main Street,Saint Charles,IL,27052,428547,
15198,St. Martin National Bank,136 Maine Street,St. Martin,MN,18937,856159,
25200,"State Bank of the Lakes, National Association",440 Lake Street,Antioch,IL,5744,595430,
12742,State National Bank ,99 Broadway Avenue,Groom,TX,3237,460556,
18045,State Street Bank and Trust Company National Association,1290 Avenue of the Americas,New York,NY,24938,93619,
15576,Stearns Bank National Association,4191 Second Street South,St. Cloud,MN,10988,141556,
23458,Stearns Bank Upsala National Association,Main Street,Upsala,MN,9336,208459,
24955,"Stifel Trust Company Delaware, National Association","Two Greenville Crossing, 4001 Kennett Pike, Suite 220",Greenville,DE,59043,4125778,
24627,"Stifel Trust Company, National Association",501 N. Broadway,St Louis,MO,33785,2713920,
14369,Stillman Banccorp National Association,101 East Main Street,Stillman Valley,IL,9263,407645,
14302,Stockmens National Bank in Cotulla,206 N. Main Street,Cotulla,TX,14864,818652,
12044,"Stride Bank, National Association",324 West Broadway,Enid,OK,4091,278555,
18154,Summit National Bank,133 Main Street,Hulett,WY,25054,78559,
4742,"Sunflower Bank, National Association",8117 Preston Road,Dallas,TX,4767,474759,
14991,"Sunrise Banks, National Association",5105 S. Crossing Place,Sioux Falls,SD,18561,860053,
9087,Superior National Bank,235 Quincy Street,Hancock,MI,5058,245557,
24350,"Synovus Trust Company, National Association",33 West 14th Street,Columbus,GA,33962,2262718,
24467,"T Bank, National Association","16200 Dallas Parkway, Suite 190",Dallas,TX,57703,3284445,
23363,"TCM Bank, National Association",3501 E. Frontage Road,Tampa,FL,34535,2687487,
22611,"TD Bank USA, National Association",2035 Limestone Road,Wilmington,DE,33947,2121196,
24096,"TD Bank, National Association",2035 Limestone Road,Wilmington,DE,18409,497404,
20157,Terrabank National Association,3191 Coral Way,Miami,FL,26442,238737,
10476,"Texana Bank, National Association",124 East Rush,Linden,TX,3302,809650,
24693,"Texas Advantage Community Bank, National Association","1701 Fairway Plaza, Suite 18",Alvin,TX,58450,3485215,
10420,"Texas Gulf Bank, National Association",1626 South Voss Road,Houston,TX,3206,514655,
4701,Texas Heritage National Bank,107 Webb,Daingerfield,TX,3161,824653,
11879,Texas National Bank,201 S. Texas,Mercedes,TX,3337,497954,
22807,Texas National Bank,400 East Broadway,Sweetwater,TX,34014,1435092,
18594,Texas National Bank of Jacksonville,300 Neches Street,Jacksonville,TX,26181,739355,
12308,"Texas Republic Bank, National Association","2595 Preston Road, Building 100",Frisco,TX,3400,735067,
16799,The American National Bank of Mount Pleasant,301 South Madison Avenue,Mount Pleasant,TX,22942,764067,
17043,The American National Bank of Texas,102 West Moore Avenue,Terrell,TX,23474,599764,
3711,The Atlanta National Bank,105 Southwest Church Street,Atlanta,IL,3601,672238,
25279,"The Bancorp Bank, National Association",345 N Reid Place,Sioux Falls,SD,35444,2858960,
24526,"The Bank of New York Mellon Trust Company, NA","333 South Hope Street, Suite 2525",Los Angeles,CA,23472,398668,
13770,"The Bank, National Association",2nd and Carl Albert Parkway,McAlester,OK,4146,829050,
9734,The Bradford National Bank of Greenville,100 East College Avenue,Greenville,IL,3799,720746,
7827,The Brady National Bank,101 S. Blackburn,Brady,TX,3109,101952,
13678,The Brenham National Bank,2211 South Day Street,Brenham,TX,3113,227357,
2311,The Camden National Bank,2 Elm Street,Camden,ME,4255,593007,
3817,The Canandaigua National Bank and Trust Company,72 South Main Street,Canandaigua,NY,6985,161602,
10034,The Citizens First National Bank of Storm Lake,529 Lake Avenue,Storm Lake,IA,4511,424240,
10789,The Citizens National Bank,417 Commercial,Greenleaf,KS,4678,991555,
11573,The Citizens National Bank of Bluffton,102 South Main Street,Bluffton,OH,6531,738013,
10216,The Citizens National Bank of Hammond,19 Main Street,Hammond,NY,14820,855303,
4900,The Citizens National Bank of Hillsboro,200 E. Elm Street,Hillsboro,TX,3255,184656,
5259,The Citizens National Bank of McConnelsville,100 East Main Street,McConnelsville,OH,6638,685023,
7266,The Citizens National Bank of Meridian,512 22nd Avenue,Meridian,MS,4993,69333,
13692,The Citizens National Bank of Park Rapids,300 West First Street,Park Rapids,MN,5223,877752,
14255,The Citizens National Bank of Quitman,100 East Stevens Street,Quitman,GA,14731,774235,
11544,The Citizens National Bank of Somerset,44 Public Square,Somerset,KY,2725,410917,
13847,The Citizens National Bank of Woodsfield,143 S. Main Street,Woodsfield,OH,6732,386825,
5753,"The City National Bank and Trust Company of Lawton, Ok",500 Montgomery Square,Lawton,OK,4132,294751,
5276,The City National Bank of Colorado City,228 Elm Street,Colorado City,TX,3144,799854,
8745,The City National Bank of Metropolis,423 Ferry Street,Metropolis,IL,3814,298245,
10806,The City National Bank of San Saba,209 E. Brown,San Saba,TX,5518,714165,
3989,The City National Bank of Sulphur Springs,201 Connally Street,Sulphur Springs,TX,5544,596062,
5275,The City National Bank of Taylor,212 North Main Street,Taylor,TX,5548,181963,
994,The Clinton National Bank,235 Sixth Avenue South,Clinton,IA,4439,773443,
8573,The Commercial National Bank of Brady,105 East Second Street,Brady,TX,3110,42354,
10536,The Conway National Bank,1400 Third Avenue,Conway,SC,2102,631422,
1323,The Delaware National Bank of Delhi,124 Main Street,Delhi,NY,7025,236603,
2515,The Ephrata National Bank,31 East Main Street,Ephrata,PA,7493,425911,
6609,The Fairfield National Bank,220 East Main Street,Fairfield,IL,3792,640246,
8606,The Falls City National Bank,100 S Front Street,Falls City,TX,3193,441050,
9767,The Farmers and Merchants National Bank of Fairview,312 North Main,Fairview,OK,4097,73152,
8221,The Farmers and Merchants National Bank of Nashville,120 W. St. Louis,Nashville,IL,3821,513546,
3654,The Farmers' National Bank of Canfield,20 South Broad Street,Canfield,OH,6540,680813,
2409,The Farmers National Bank of Danville,304 West Main Street,Danville,KY,2740,785147,
4271,The Farmers National Bank of Lebanon,136 West Main Street,Lebanon,KY,2754,575348,
8345,The Fayette County National Bank of Fayetteville,101 N. Court Street,Fayetteville,WV,6762,488420,
2488,The First Central National Bank of St. Paris,103 South Springfield Street,St. Paris,OH,15214,538222,
18783,The First Citizens National Bank of Upper Sandusky,100 North Sandusky,Upper Sandusky,OH,14355,230423,
12094,The First Farmers National Bank of Waurika,319 East D Street,Waurika,OK,4222,353957,
5547,The First National Bank and Trust Co.,302 Chickasha Avenue,Chickasha,OK,4062,154154,
2725,The First National Bank and Trust Company,345 East Grand Avenue,Beloit,WI,5285,207845,
7115,The First National Bank and Trust Company of Broken Arrow,121 South Main Street,Broken Arrow,OK,4050,145554,
5252,The First National Bank and Trust Company of Miami,2 N. Main Street,Miami,OK,4148,837158,
324,The First National Bank and Trust Company of Newtown,State and Centre Streets,Newtown,PA,7658,1007417,
14296,The First National Bank at St. James,202 First Avenue South,St. James,MN,14853,794653,
14244,The First National Bank in Amboy,220 East Main,Amboy,IL,14674,656032,
13046,The First National Bank in Cooper,11 West Side Square,Cooper,TX,3149,767152,
14072,The First National Bank in Falfurrias,200 S. St. Mary Street,Falfurrias,TX,14095,442655,
20838,The First National Bank in Marlow,301 West Main Street,Marlow,OK,26260,17259,
3393,The First National Bank in Sioux Falls,100 South Phillips Avenue,Sioux Falls,SD,4016,326858,
13579,The First National Bank in Tremont,134 South Sampson Street,Tremont,IL,3749,353546,
14222,The First National Bank in Trinidad,100 East Main Street,Trinidad,CO,14584,474058,
10823,The First National Bank of Absecon,106 New Jersey Avenue,Absecon,NJ,6442,188917,
8293,The First National Bank of Allendale,301 East Main Street,Allendale,IL,12365,990642,
6091,The First National Bank of Anson,1021 12th Street,Anson,TX,3078,366359,
9183,The First National Bank of Arenzville,110 S Charles Street,Arenzville,IL,3599,593333,
5786,The First National Bank of Aspermont,136 West 7th Street,Aspermont,TX,3079,138257,
5316,The First National Bank of Assumption,141 North Chestnut Street,Assumption,IL,3600,604033,
10911,The First National Bank of Ava,Main Street,Ava,IL,3761,858443,
3533,The First National Bank of Ballinger,911 Hutchins Avenue,Ballinger,TX,3087,160454,
13202,The First National Bank of Bangor,1798 Commercial Street,Bangor,WI,5337,627854,
4093,The First National Bank of Bastrop,489 Highway 71 West,Bastrop,TX,3091,18050,
2302,The First National Bank of Bellevue,120 North Street,Bellevue,OH,6528,243414,
4241,The First National Bank of Bellville,100 East Main Street,Bellville,TX,3099,91754,
5582,The First National Bank of Bemidji,"1600 Paul Bunyan Drive, NW",Bemidji,MN,5093,363657,
8588,The First National Bank of Blanchester,121 East Main Street,Blanchester,OH,6530,735414,
8830,The First National Bank of Brooksville,Locust Street,Brooksville,KY,2682,798512,
10397,The First National Bank of Brownstown,108 E. Main Street,Brownstown,IL,3770,207041,
4934,The First National Bank of Carmi,201 East Main Street,Carmi,IL,3777,209148,
12395,The First National Bank of Cokato,365 Broadway Avenue South,Cokato,MN,5115,280558,
8322,The First National Bank of Coleraine,W Highway 169,Coleraine,MN,5117,311658,
13802,The First National Bank of Dennison,105 Grant Street,Dennison,OH,6574,935719,
9773,The First National Bank of Dighton,105 E. Long Street,Dighton,KS,4654,636753,
6487,The First National Bank of Dryden,7 W. Main Street,Dryden,NY,7031,241009,
7534,The First National Bank of Eagle Lake,100 Commerce Street,Eagle Lake,TX,3179,651952,
6707,The First National Bank of Elmer,Main Street,Elmer,NJ,6464,609010,
8561,The First National Bank of Ely,595 Aultman Street,Ely,NV,2273,450669,
12739,The First National Bank of Evant,115 S. Memory Lane,Evant,TX,3190,379153,
9771,The First National Bank of Fairfax,16 South East First Street,Fairfax,MN,5142,938354,
11571,The First National Bank of Fleming,201 N. Logan,Fleming,CO,3018,306056,
12141,The First National Bank of Fletcher,401 West Cole,Fletcher,OK,4098,185251,
1950,The First National Bank of Fort Smith,602 Garrison Avenue,Fort Smith,AR,3864,397540,
8624,The First National Bank of Frederick,314 Main Street,Frederick,SD,3985,288152,
86,The First National Bank of Germantown,17 N. Main Street,Germantown,OH,6592,505916,
9262,The First National Bank of Gilbert,2 North Broadway,Gilbert,MN,5150,975452,
8521,The First National Bank of Gordon,134 N. Main Street,Gordon,NE,5410,3252,
3727,The First National Bank of Granbury,101 E. Bridge Street,Granbury,TX,3228,329952,
12982,The First National Bank of Grayson,200 S. Carol Malone Boulevard,Grayson,KY,2695,610913,
1083,The First National Bank of Groton,161 Main Street,Groton,NY,7085,917500,
7592,The First National Bank of Hartford,101 South 3rd Avenue,Hartford,AL,2804,112332,
12995,The First National Bank of Hebbronville,305 N. Smith Street,Hebbronville,TX,3248,173959,
6906,The First National Bank of Henning,Highways 78 and 108,Ottertail,MN,5162,23456,
10566,The First National Bank of Hooker,119 North Broadway Street,Hooker,OK,4123,816256,
12384,The First National Bank of Hope,112 Main Street,Hope,KS,4690,870856,
6922,The First National Bank of Hughes Springs,505 E. First,Hughes Springs,TX,3268,849357,
8489,The First National Bank of Hugo,321 4th Street,Hugo,CO,3029,276551,
3180,The First National Bank of Hutchinson,One North Main Street,Hutchinson,KS,4697,754853,
21165,The First National Bank of Izard County,2184 AR Highway 56,Calico Rock,AR,11252,379649,
7768,The First National Bank of Jeanerette,1331 East Main Street,Jeanerette,LA,4290,622037,
8161,The First National Bank of Johnson,125 Main Street,Johnson,NE,5422,563457,
347,The First National Bank of Lacon,111 South Broad Street,Lacon,IL,3688,824738,
6921,The First National Bank of Le Center,701 Ash Street NE,Lonsdale,MN,5180,986551,
10598,The First National Bank of Lipan,101 E. Lipan Drive,Lipan,TX,3303,811457,
3962,The First National Bank of Litchfield,324 North State Street,Litchfield,IL,3807,370347,
6169,The First National Bank of Livingston,2121 Highway 190 West,Livingston,TX,3305,630658,
13126,The First National Bank of Long Island,10 Glen Head Road,Glen Head,NY,7072,837000,
11798,The First National Bank of Louisburg,1201 West Amity,Louisburg,KS,4722,132451,
7605,The First National Bank of Manchester,120 Town Square,Manchester,KY,2708,719610,
3455,The First National Bank of Manning,401 Main Street,Manning,IA,4477,818540,
46,The First National Bank of McConnelsville,86 North Kennebec Avenue,McConnelsville,OH,6637,44929,
6488,The First National Bank of McIntosh,260 Cleveland Avenue SW,McIntosh,MN,5196,988256,
9810,The First National Bank of Mertzon,106 S. Broadway,Mertzon,TX,3339,500256,
2221,The First National Bank of Middle Tennessee,200 East Main Street,McMinnville,TN,4952,87234,
9050,The First National Bank of Milaca,192 Second Avenue S.W.,Milaca,MN,5198,924357,
9784,The First National Bank of Monterey,Main Street,Monterey,IN,4364,44040,
5774,The First National Bank of Moody,101 7th Street,Moody,TX,3351,108269,
12947,The First National Bank of Moose Lake,400 Elm Avenue,Moose Lake,MN,5214,706058,
13102,The First National Bank of Mount Dora,714 N Donnelly Street,Mount Dora,FL,3579,61832,
3959,"The First National Bank of Nevada, Missouri",100 West Walnut,Nevada,MO,4598,827355,
11754,The First National Bank of Okawville,203 East Walnut Street,Okawville,IL,3826,333940,
8039,The First National Bank of Oneida,603 North Main Street,Oneida,TN,4958,966731,
228,The First National Bank of Orwell,Main Street,Orwell,VT,6280,177500,
6837,The First National Bank of Osakis,211-13 Central,Osakis,MN,5221,726458,
11343,The First National Bank of Pandora,102 E. Main Street,Pandora,OH,6671,571920,
9721,The First National Bank of Peterstown,220 Market Street,Peterstown,WV,6787,719030,
4155,The First National Bank of Primghar,180 S. Hayes Avenue,Primghar,IA,4494,343248,
11125,The First National Bank of Proctor,211 Second Street,Proctor,MN,5232,731957,
11706,The First National Bank of Quitaque,320 East Main Street,Quitaque,TX,3401,644963,
6910,The First National Bank of Raymond,403 East Broad Street,Raymond,IL,3830,421445,
11348,The First National Bank of Russell Springs,Highways 127 and 80,Russell Springs,KY,2767,173641,
8808,The First National Bank of Scott City,501 Main Street,Scott City,KS,4769,414652,
5628,The First National Bank of Shiner,103 W. 7th,Shiner,TX,5529,342362,
5466,The First National Bank of Sonora,102 East Main Street,Sonora,TX,5531,591366,
7015,The First National Bank of Sparta,Broadway and Market Streets,Sparta,IL,3837,246947,
10161,The First National Bank of Spearville,303 N Main,Spearville ,KS,4774,197254,
3886,The First National Bank of St. Ignace,132 N. State Street,St. Ignace,MI,5074,381950,
8094,The First National Bank of Stanton,119 N. St. Peter,Stanton,TX,5536,458665,
9813,The First National Bank of Sterling City,602 4th Street,Sterling City,TX,5538,411062,
11383,The First National Bank of Sycamore,South Sycamore Avenue,Sycamore,OH,6706,553926,
11019,The First National Bank of Tom Bean,109 Britton Street,Tom Bean,TX,5557,193162,
13706,The First National Bank of Trinity,145 South Robb Street,Trinity,TX,5559,479567,
11305,The First National Bank of Wakefield,400 Sunday Lake Street,Wakefield,MI,5076,292850,
10180,The First National Bank of Waterloo,228 South Main Street,Waterloo,IL,3842,145545,
5635,The First National Bank of Waverly,107 N. Market,Waverly,OH,6725,263627,
7899,The First National Bank of Waynesboro,626 Liberty Street,Waynesboro,GA,2160,31134,
6830,The First National Bank of Williamson,68 E. Second Avenue,Williamson,WV,6805,917630,
14757,The Fisher National Bank,102 East Division Street,Fisher,IL,17513,739832,
23864,"The Glenmede Trust Company, National Association","1650 Market Street, Suite 4000",Philadelphia,PA,35317,2826017,
24173,"The Goldman Sachs Trust Company, National Association",200 Bellevue Parkway,Wilmington,DE,57337,3066025,
11642,The Granger National Bank,200 W. Davilla,Granger,TX,3232,272151,
14035,The Granville National Bank,328 South McCoy Street,Granville,IL,13983,560830,
2242,The Havana National Bank,112 South Orange Street,Havana,IL,3677,940731,
5842,The Home National Bank of Thorntown,117 East Main Street,Thorntown,IN,14225,696645,
644,The Honesdale National Bank,733 Main Stt,Honesdale,PA,7526,465618,
7745,The Huntington National Bank,17 South High Street,Columbus,OH,6560,12311,
11913,The Idabel National Bank,1201 Southeast Washington,Idabel,OK,4241,237954,
7814,The Jacksboro National Bank,910 North Main Street,Jacksboro,TX,3275,924058,
5614,The Karnes County National Bank of Karnes City,301 E. Calvert Street,Karnes City,TX,3279,979759,
13111,The Lamesa National Bank,602 South 1st Street,Lamesa,TX,3292,623052,
11715,The Lemont National Bank,1201 State Street,Lemont,IL,3693,480330,
13541,The Liberty National Bank in Paris,305 Lamar Avenue,Paris,TX,3384,1669,
13479,The Lincoln National Bank of Hodgenville,41 Public Square,Hodgenville,KY,2750,553944,
10079,The Litchfield National Bank,316 North State Street,Litchfield,IL,3808,372444,
1027,The Lyons National Bank,35 William Street,Lyons,NY,7151,323204,
23202,The Malvern National Bank,1 Money Place,Malvern,AR,14644,906241,
7911,The Marion National Bank,302 East Main Street,Marion,KS,4728,167752,
2449,The Merchants National Bank,100 North High Street,Hillsboro,OH,6605,701222,
6991,The Miners National Bank of Eveleth,401 Grant Avenue,Eveleth,MN,5141,43856,
24827,The MINT National Bank,1213 Kingwood Drive,Kingwood,TX,58764,3821626,
13198,The National Bank of Adams County of West Union,218 N. Market Street,West Union,OH,6728,290922,
14788,The National Bank of Andrews,1501 N. Main,Andrews,TX,17603,488653,
12229,The National Bank of Blacksburg,100 South Main Street,Blacksburg,VA,6821,754929,
1398,The National Bank of Coxsackie,3-7 Reed Street,Coxsackie,NY,7018,234506,
22652,The National Bank of Indianapolis,"107 North Pennsylvania Street, Suite 700",Indianapolis,IN,33860,2132941,
3147,The National Bank of Malvern,King and Warren Streets,Malvern,PA,7590,977616,
1195,The National Bank of Middlebury,30-32 Main Street,Middlebury,VT,6275,173306,
4107,The National Capital Bank of Washington,"316 Pennsylvania Avenue, S.E.",Washington,DC,2093,791821,
676,The National Grand Bank of Marblehead,91 Pleasant Street,Marblehead,MA,2608,863607,
1214,The National Iron Bank,195 Main Street,Salisbury,CT,2496,1008209,
12471,The Neffs National Bank,5629 Pennsylvania Route 873,Neffs,PA,7646,144913,
7005,The Northumberland National Bank,245 Front Street,Northumberland,PA,7666,70414,
11780,The Old Exchange National Bank of Okawville,110 E. Walnut Street,Okawville,IL,3827,411240,
